timestamp_unix,timestamp_iso,participant_full_id,respiratory_rate_brpm,missing_value_reason
1721001600000,2024-07-15T00:00:00Z,1211-1-1-0715,,device_not_recording
1721001660000,2024-07-15T00:01:00Z,1211-1-1-0715,,device_not_recording
1721001720000,2024-07-15T00:02:00Z,1211-1-1-0715,,device_not_recording
1721001780000,2024-07-15T00:03:00Z,1211-1-1-0715,,device_not_recording
1721001840000,2024-07-15T00:04:00Z,1211-1-1-0715,,device_not_recording
1721001900000,2024-07-15T00:05:00Z,1211-1-1-0715,,device_not_recording
1721001960000,2024-07-15T00:06:00Z,1211-1-1-0715,,device_not_recording
1721002020000,2024-07-15T00:07:00Z,1211-1-1-0715,,device_not_recording
1721002080000,2024-07-15T00:08:00Z,1211-1-1-0715,,device_not_recording
1721002140000,2024-07-15T00:09:00Z,1211-1-1-0715,,device_not_recording
1721002200000,2024-07-15T00:10:00Z,1211-1-1-0715,,device_not_recording
1721002260000,2024-07-15T00:11:00Z,1211-1-1-0715,,device_not_recording
1721002320000,2024-07-15T00:12:00Z,1211-1-1-0715,,device_not_recording
1721002380000,2024-07-15T00:13:00Z,1211-1-1-0715,,device_not_recording
1721002440000,2024-07-15T00:14:00Z,1211-1-1-0715,,device_not_recording
1721002500000,2024-07-15T00:15:00Z,1211-1-1-0715,,device_not_recording
1721002560000,2024-07-15T00:16:00Z,1211-1-1-0715,,device_not_recording
1721002620000,2024-07-15T00:17:00Z,1211-1-1-0715,,device_not_recording
1721002680000,2024-07-15T00:18:00Z,1211-1-1-0715,,device_not_recording
1721002740000,2024-07-15T00:19:00Z,1211-1-1-0715,,device_not_recording
1721002800000,2024-07-15T00:20:00Z,1211-1-1-0715,,device_not_recording
1721002860000,2024-07-15T00:21:00Z,1211-1-1-0715,,device_not_recording
1721002920000,2024-07-15T00:22:00Z,1211-1-1-0715,,device_not_recording
1721002980000,2024-07-15T00:23:00Z,1211-1-1-0715,,device_not_recording
1721003040000,2024-07-15T00:24:00Z,1211-1-1-0715,,device_not_recording
1721003100000,2024-07-15T00:25:00Z,1211-1-1-0715,,device_not_recording
1721003160000,2024-07-15T00:26:00Z,1211-1-1-0715,,device_not_recording
1721003220000,2024-07-15T00:27:00Z,1211-1-1-0715,,device_not_recording
1721003280000,2024-07-15T00:28:00Z,1211-1-1-0715,,device_not_recording
1721003340000,2024-07-15T00:29:00Z,1211-1-1-0715,,device_not_recording
1721003400000,2024-07-15T00:30:00Z,1211-1-1-0715,,device_not_recording
1721003460000,2024-07-15T00:31:00Z,1211-1-1-0715,,device_not_recording
1721003520000,2024-07-15T00:32:00Z,1211-1-1-0715,,device_not_recording
1721003580000,2024-07-15T00:33:00Z,1211-1-1-0715,,device_not_recording
1721003640000,2024-07-15T00:34:00Z,1211-1-1-0715,,device_not_recording
1721003700000,2024-07-15T00:35:00Z,1211-1-1-0715,,device_not_recording
1721003760000,2024-07-15T00:36:00Z,1211-1-1-0715,,device_not_recording
1721003820000,2024-07-15T00:37:00Z,1211-1-1-0715,,device_not_recording
1721003880000,2024-07-15T00:38:00Z,1211-1-1-0715,,device_not_recording
1721003940000,2024-07-15T00:39:00Z,1211-1-1-0715,,device_not_recording
1721004000000,2024-07-15T00:40:00Z,1211-1-1-0715,,device_not_recording
1721004060000,2024-07-15T00:41:00Z,1211-1-1-0715,,device_not_recording
1721004120000,2024-07-15T00:42:00Z,1211-1-1-0715,,device_not_recording
1721004180000,2024-07-15T00:43:00Z,1211-1-1-0715,,device_not_recording
1721004240000,2024-07-15T00:44:00Z,1211-1-1-0715,,device_not_recording
1721004300000,2024-07-15T00:45:00Z,1211-1-1-0715,,device_not_recording
1721004360000,2024-07-15T00:46:00Z,1211-1-1-0715,,device_not_recording
1721004420000,2024-07-15T00:47:00Z,1211-1-1-0715,,device_not_recording
1721004480000,2024-07-15T00:48:00Z,1211-1-1-0715,,device_not_recording
